id,ref,num_comps
A1,A1
A2,A2
A4,A4
A6,A6
A8,A8
A18,A18
S1,S1
S2,S2
S3,S3
S5,S5
S6,S6
S7,S7
S8,S8
S10,S10
S11,S11
S12,S12,0
S14,S14
S16,S16,0
S17,S17
S19,S19
S22,S22
S51,S51
S61,S61,0
S69,S69
S74,S74
S79,S79,0
S86,S86
DK1,1
DK2,2
DK3,3
DK4,4
DK5,5
DK6,6
DK7,7
DK8,8
DK9,9
DK10,10
DK11,11
DK12,12
DK13,13
DK14,14
DK15,15
DK16,16
DK17,17
DK18,18
DK19,19
DK20,20
DK21,21
DK22,22
DK23,23
DK24,24
DK25,25
DK26,26
DK27,27
DK28,28
DK29,29
DK30,30
DK31,31
DK32,32
DK33,33
DK34,34
DK35,35
DK36,36
DK37,37
DK38,38
DK39,39
DK40,40
DK41,41
DK42,42
DK43,43
DK44,44
DK45,45
DK46,46
DK47,47
DK48,48
DK49,49
DK50,50
DK51,51
DK52,52
DK53,53
DK54,54
DK55,55
DK56,56
DK57,57
DK58,58
DK59,59
DK60,60
DK61,61
DK62,62
DK63,63
DK64,64
DK65,65
DK66,66
DK67,67
DK68,68
DK69,69
DK70,70
DK71,71
DK72,72
DK73,73
DK74,74
DK75,75
DK76,76
DK77,77
DK78,78
DK79,79
DK80,80
DK81,81
DK82,82
DK83,83
DK84,84
DK85,85
DK86,86
DK87,87
DK88,88
DK90,90
DK91,91
DK92,92
DK93,93
DK94,94
DK98,98
DW100,100
DW101,101
DW102,102
DW103,103
DW104,104
DW105,105
DW106,106
DW107,107
DW108,108
DW109,109
DW110,110
DW112,112
DW113,113
DW114,114
DW115,115
DW116,116
DW117,117
DW118,118
DW119,119
DW120,120
DW121,121
DW122,122
DW123,123
DW124,124
DW125,125
DW126,126
DW127,127
DW128,128
DW129,129
DW130,130
DW131,131
DW132,132
DW133,133
DW134,134
DW135,135
DW136,136
DW137,137
DW138,138
DW139,139
DW140,140
DW141,141
DW142,142
DW143,143
DW144,144
DW145,145
DW146,146
DW147,147
DW148,148
DW149,149
DW150,150
DW151,151
DW152,152
DW153,153
DW154,154
DW155,155
DW156,156
DW157,157
DW158,158
DW159,159
DW160,160
DW161,161
DW162,162
DW163,163
DW164,164
DW165,165
DW166,166
DW167,167
DW168,168
DW169,169
DW170,170
DW171,171
DW172,172
DW173,173
DW174,174
DW175,175
DW176,176
DW177,177
DW178,178
DW179,179
DW180,180
DW181,181
DW182,182
DW183,183
DW184,184
DW185,185
DW186,186
DW187,187
DW188,188
DW189,189
DW190,190
DW191,191
DW192,192
DW193,193
DW194,194
DW195,195
DW196,196
DW197,197
DW198,198
DW199,199
DW200,200
DW201,201
DW202,202
DW203,203
DW204,204
DW205,205
DW206,206
DW207,207
DW208,208
DW209,209
DW210,210
DW211,211
DW212,212
DW213,213
DW214,214
DW215,215
DW216,216
DW217,217
DW218,218
DW219,219
DW220,220
DW221,221
DW222,222
DW223,223
DW224,224
DW225,225
DW226,226
DW227,227
DW228,228
DW229,229
DW230,230
DW231,231
DW233,233
DW234,234
DW235,235
DW236,236
DW237,237
DW238,238
DW239,239
DW240,240
DW241,241
DW242,242
DW243,243
DW244,244
DW245,245
DW246,246
DW247,247
DW248,248
DW249,249
DW250,250
DW251,251
DW252,252
DW253,253
DW254,254
DW255,255
DW256,256
DW257,257
DW258,258
DW259,259
DW260,260
DW261,261
DW262,262
DW263,263
DW264,264
DW265,265
DW266,266
DW267,267
DW268,268
DW269,269
DW270,270
DW271,271
DW272,272
DW273,273
DW274,274
DW275,275
DW276,276
DW277,277
